,id,StarName,Radius,Mass,DistanceData
152,152,2MASSW J1555157-095605 [de],4.521572,0.067775748,1.03
153,153,2MASS J16150413+1340079 [de],4.932624,0.040092696000000004,0.94
154,154,SDSSp J162414.37+002915.6 [de],3.6994679999999995,0.041047284,0.94
155,155,2MASS J16262034+3925190 [de],11.30393,0.067775748,1.03
156,156,2MASSW J1632291+190441 [de],5.1381499999999996,0.046774812,0.97
157,157,WISEPA J164715.59+563208.2,2.877364,0.039138108,0.94
158,158,LSPM J1658+7027 [de],6.16578,0.069684924,1.04
159,159,2MASSI J1726000+153819,11.714982,0.022910112,1.4
161,161,SDSSp J175032.96+175903.9,9.248669999999999,0.044865636,0.97
162,162,2MASS J18283572-4849046,4.007757,0.04295646,0.95
163,163,LSR J1835+3259,1.9011155,0.073503276,1.07
164,164,2MASSW J1841086+311727,14.181294,0.063957396,1.01
165,165,2MASS J18432213+4040209,4.727098,0.091640448,1.22
166,166,2MASS J20004841-7523070,10.790115,0.0238647,1.88
167,167,SDSS J204749.61-071818.3,6.679595,0.043911048,0.96
168,168,2MASSI J2057540-025230,4.829860999999999,0.06682116,1.02
170,170,2MASSI J2104149-103736,6.371306,0.065866572,1.02
171,171,PSO J318.5−22,8.221039999999999,0.0062048220000000005,1.53
172,172,HB 2124-4228,11.612219,0.089731272,1.21
173,173,2MASS J21392676+0220226,3.2986923,0.043911048,0.96
174,174,2MASS J21481628+4003593,2.7026669,0.05250234,0.99
176,176,2MASSW J2206450-421721,9.556958999999999,0.021000936,1.33
177,177,2MASSW J2208136+292121,15.825501999999998,0.025773876,1.41
178,178,2MASSW J2224438-015852,3.904994,0.058229868000000004,0.99
179,179,2MASS J22282889-4310262,3.5967049999999996,0.040092696000000004,0.94
180,180,2MASS J22373255+3922398,6.576832,0.069684924,1.04
181,181,2MASSW J2244316+204343,5.754728,0.011455056,1.29
182,182,2MASS J23224684-3133231,5.754728,0.022910112,1.39
183,183,2MASS J23225299-6151275,15.208924,0.016227996,1.59
184,184,2MASS J23515044-2537367,6.885121,0.084003744,1.16
185,185,2MASSI J2356547-155310,7.604462,0.07636704,1.09
223,223,WISE 0410+1502,2.0552599999999996,0.005727528,1.17
227,227,WISE 0458+6434A,3.6891916999999994,0.014318820000000001,4.2
228,228,WISE 0458+6434B,3.6891916999999994,0.00954588,3.8
282,282,WISE 1405+5534,2.5999038999999997,0.028637640000000002,0.86
